id,word,reading,english_meaning,study_level,kanji_components,component_levels
N3_V001,合格,ごうかく,passing; qualification; success,N3,合 格,N3 N3
N3_V002,部分,ぶぶん,part; section,N3,部 分,N3 N5
N3_V003,彼女,かのじょ,she; girlfriend,N3,彼 女,N3 N5
N3_V004,内容,ないよう,content; details,N3,内 容,N3 N3
N3_V005,現実,げんじつ,reality,N3,現 実,N3 N3
N3_V006,当日,とうじつ,the day; that day,N3,当 日,N3 N5
N3_V007,戦争,せんそう,war,N3,戦 争,N3 N3
N3_V008,性格,せいかく,personality; character,N3,性 格,N3 N3
N3_V009,反対,はんたい,opposition; opposite,N3,反 対,N3 N3
N3_V010,関係,かんけい,relationship; connection,N3,関 係,N3 N3
N3_V011,感情,かんじょう,emotion; feeling,N3,感 情,N3 N3
N3_V012,決定,けってい,decision; determination,N3,決 定,N3 N3
N3_V013,政治,せいじ,politics; government,N3,政 治,N3 N3
N3_V014,取引,とりひき,transaction; dealings,N3,取 引,N3 N3
N3_V015,所得,しょとく,income; earnings,N3,所 得,N3 N3
N3_V016,現在,げんざい,present; current time,N3,現 在,N3 N3
N3_V017,変化,へんか,change; transformation,N3,変 化,N3 N3
N3_V018,国民,こくみん,citizen; people of a country,N3,国 民,N5 N3
N3_V019,相手,あいて,partner; opponent; other party,N3,相 手,N3 N4
N3_V020,法学,ほうがく,law; legal studies,N3,法 学,N3 N5
N3_V021,全国,ぜんこく,the whole country; nationwide,N3,全 国,N3 N5
N3_V022,情報,じょうほう,information,N3,情 報,N3 N3
N3_V023,向上,こうじょう,improvement; advancement,N3,向 上,N3 N5
N3_V024,平和,へいわ,peace,N3,平 和,N3 N3
N3_V025,成長,せいちょう,growth; development,N3,成 長,N3 N5
N3_V026,経済,けいざい,economy; economics,N3,経 済,N3 N3
N3_V027,信用,しんよう,trust; credit,N3,信 用,N3 N4
N3_V028,面積,めんせき,area; surface area,N3,面 積,N3 N3
N3_V029,連続,れんぞく,continuation; consecutive,N3,連 続,N3 N3
N3_V030,原因,げんいん,cause; origin,N3,原 因,N3 N3
N3_V031,笑顔,えがお,smiling face; smile,N3,笑 顔,N3 N3
N3_V032,機会,きかい,opportunity; chance,N3,機 会,N3 N4
N3_V033,次回,じかい,next time,N3,次 回,N3 N3
N3_V034,数学,すうがく,mathematics,N3,数 学,N3 N5
N3_V035,美術,びじゅつ,art; fine arts,N3,美 術,N3 N3
N3_V036,回数,かいすう,number of times; frequency,N3,回 数,N3 N3
N3_V037,表面,ひょうめん,surface; exterior,N3,表 面,N3 N3
N3_V038,声優,せいゆう,voice actor,N3,声 優,N3 N3
N3_V039,報告,ほうこく,report; notification,N3,報 告,N3 N3
N3_V040,必要,ひつよう,necessary; need,N3,必 要,N3 N3
N3_V041,大変,たいへん,serious; difficult; very,N3,大 変,N5 N3
N3_V042,神様,かみさま,god; deity,N3,神 様,N3 N3
N3_V043,記事,きじ,article; news story,N3,記 事,N3 N4
N3_V044,和食,わしょく,Japanese food,N3,和 食,N3 N5
N3_V045,引力,いんりょく,gravity; attraction,N3,引 力,N3 N4
N3_V046,治安,ちあん,public safety; security,N3,治 安,N3 N4
N3_V047,決心,けっしん,determination; resolve,N3,決 心,N3 N4
N3_V048,太陽,たいよう,sun,N3,太 陽,N3 N3
N3_V049,申込,もうしこみ,application; registration,N3,申 込,N3 N3
N3_V050,受付,うけつけ,reception; acceptance desk,N3,受 付,N3 N3
N3_V051,解説,かいせつ,explanation; commentary,N3,解 説,N3 N3
N3_V052,市民,しみん,citizen; city resident,N3,市 民,N3 N3
N3_V053,期間,きかん,period; term,N3,期 間,N3 N5
N3_V054,様子,ようす,state; appearance; situation,N3,様 子,N3 N5
N3_V055,生活,せいかつ,life; living,N3,生 活,N5 N3
N3_V056,頭痛,ずつう,headache,N3,頭 痛,N3 N3
N3_V057,番組,ばんぐみ,program; show,N3,番 組,N3 N3
N3_V058,指定,してい,designation; specification,N3,指 定,N3 N3
N3_V059,小説,しょうせつ,novel; fiction,N3,小 説,N5 N3
N3_V060,能力,のうりょく,ability; capacity,N3,能 力,N3 N4
N3_V061,流行,りゅうこう,trend; fashion; prevalence,N3,流 行,N3 N5
N3_V062,自然,しぜん,nature; natural,N3,自 然,N4 N3
N3_V063,最初,さいしょ,first; beginning,N3,最 初,N3 N3
N3_V064,在学,ざいがく,being enrolled in school,N3,在 学,N3 N5
N3_V065,体調,たいちょう,physical condition,N3,体 調,N4 N3
N3_V066,笑い声,わらいごえ,laughter; laughing voice,N3,笑 声,N3 N3
N3_V067,議論,ぎろん,discussion; argument,N3,議 論,N3 N3
N3_V068,直後,ちょくご,immediately after,N3,直 後,N3 N5
N3_V069,夫婦,ふうふ,married couple; husband and wife,N3,夫 婦,N3 N3
N3_V070,選手,せんしゅ,player; athlete,N3,選 手,N3 N4
N3_V071,人権,じんけん,human rights,N3,人 権,N5 N3
N3_V072,勝利,しょうり,victory,N3,勝 利,N3 N3
N3_V073,制度,せいど,system; institution,N3,制 度,N3 N4
N3_V074,続行,ぞっこう,continuation; carrying on,N3,続 行,N3 N5
N3_V075,大理石,だいりせき,marble,N3,大 理 石,N5 N4 N3
N3_V076,進学,しんがく,advancing to higher education,N3,進 学,N3 N5
N3_V077,伝言,でんごん,message; verbal message,N3,伝 言,N3 N4
N3_V078,参加,さんか,participation,N3,参 加,N3 N3
N3_V079,助手,じょしゅ,assistant,N3,助 手,N3 N4
N3_V080,点数,てんすう,score; points,N3,点 数,N3 N3
N3_V081,生産,せいさん,production,N3,生 産,N5 N3
N3_V082,事務,じむ,office work; clerical work,N3,事 務,N4 N3
N3_V083,事件,じけん,incident; case,N3,事 件,N4 N3
N3_V084,生命,せいめい,life; living being,N3,生 命,N5 N3
N3_V085,落書き,らくがき,graffiti; scribble,N3,落 書,N3 N5
N3_V086,付近,ふきん,vicinity; nearby area,N3,付 近,N3 N4
N3_V087,得意,とくい,strong point; good at,N3,得 意,N3 N4
N3_V088,好意,こうい,goodwill; favor,N3,好 意,N3 N4
N3_V089,違反,いはん,violation; infringement,N3,違 反,N3 N3
N3_V090,殺人,さつじん,murder; homicide,N3,殺 人,N3 N5
N3_V091,位置,いち,position; location,N3,位 置,N3 N3
N3_V092,返事,へんじ,reply; response,N3,返 事,N3 N4
N3_V093,理論,りろん,theory,N3,理 論,N4 N3
N3_V094,国際,こくさい,international,N3,国 際,N5 N3
N3_V095,何歳,なんさい,how old; what age,N3,何 歳,N5 N3
N3_V096,反論,はんろん,counterargument; objection,N3,反 論,N3 N3
N3_V097,人形,にんぎょう,doll; figure,N3,人 形,N5 N3
N3_V098,観光,かんこう,sightseeing; tourism,N3,観 光,N3 N3
N3_V099,首都,しゅと,capital city,N3,首 都,N3 N3
N3_V100,勝負,しょうぶ,match; contest; outcome,N3,勝 負,N3 N3
N3_V101,係員,かかりいん,attendant; staff member,N3,係 員,N3 N4
N3_V102,愛情,あいじょう,love; affection,N3,愛 情,N3 N3
N3_V103,都会,とかい,city; urban area,N3,都 会,N3 N4
N3_V104,確認,かくにん,confirmation; checking,N3,確 認,N3 N3
N3_V105,過失,かしつ,error; negligence,N3,過 失,N3 N3
N3_V106,約束,やくそく,promise; appointment,N3,約 束,N3 N3
N3_V107,馬車,ばしゃ,horse-drawn carriage,N3,馬 車,N3 N5
N3_V108,招待状,しょうたいじょう,invitation card; invitation letter,N3,招 待 状,N3 N4 N3
N3_V109,感想,かんそう,impression; thoughts,N3,感 想,N3 N3
N3_V110,官民,かんみん,government and private sector,N3,官 民,N3 N3
N3_V111,交流,こうりゅう,exchange; interaction,N3,交 流,N3 N3
N3_V112,米国,べいこく,United States,N3,米 国,N3 N5
N3_V113,配達,はいたつ,delivery,N3,配 達,N3 N3
N3_V114,若者,わかもの,young person; youth,N3,若 者,N3 N4
N3_V115,資料,しりょう,materials; data; documents,N3,資 料,N3 N4
N3_V116,日常,にちじょう,daily life; everyday,N3,日 常,N5 N3
N3_V117,呼吸,こきゅう,breathing; respiration,N3,呼 吸,N3 N3
N3_V118,共同,きょうどう,cooperation; joint,N3,共 同,N3 N4
N3_V119,残業,ざんぎょう,overtime work,N3,残 業,N3 N4
N3_V120,判断,はんだん,judgment; decision,N3,判 断,N3 N3
N3_V121,役所,やくしょ,government office,N3,役 所,N3 N3
N3_V122,他人,たにん,other person; stranger,N3,他 人,N3 N5
N3_V123,手術,しゅじゅつ,surgery; operation,N3,手 術,N4 N3
N3_V124,支持,しじ,support; backing,N3,支 持,N3 N4
N3_V125,両方,りょうほう,both; both sides,N3,両 方,N3 N4
N3_V126,乗車,じょうしゃ,boarding; riding a vehicle,N3,乗 車,N3 N5
N3_V127,返済,へんさい,repayment,N3,返 済,N3 N3
