id,word,reading,english_meaning,study_level,kanji_components,component_levels
N1_V0001,新郎,しんろう,bridegroom,N1,新 郎,N4 N1
N1_V0002,結論,けつろん,conclusion,N1,結 論,N1 N3
N1_V0003,氏名,しめい,full name,N1,氏 名,N1 N5
N1_V0004,衛生,えいせい,hygiene; sanitation,N1,衛 生,N1 N5
N1_V0005,第一,だいいち,first; number one,N1,第 一,N1 N5
N1_V0006,保護,ほご,protection,N1,保 護,N1 N1
N1_V0007,義務,ぎむ,duty; obligation,N1,義 務,N1 N3
N1_V0008,吉日,きちじつ,lucky day,N1,吉 日,N1 N5
N1_V0009,弁護士,べんごし,lawyer,N1,弁 護 士,N1 N1 N1
N1_V0010,藤色,ふじいろ,wisteria purple,N1,藤 色,N1 N4
N1_V0011,井戸,いど,water well,N1,井 戸,N1 N2
N1_V0012,江戸,えど,Edo,N1,江 戸,N1 N2
N1_V0013,主張,しゅちょう,claim; assertion,N1,主 張,N4 N1
N1_V0014,松葉,まつば,pine needle,N1,松 葉,N1 N3
N1_V0015,対応,たいおう,response; handling,N1,対 応,N3 N1
N1_V0016,視点,してん,viewpoint,N1,視 点,N1 N3
N1_V0017,態度,たいど,attitude,N1,態 度,N1 N4
N1_V0018,姿勢,しせい,posture; attitude,N1,姿 勢,N1 N2
N1_V0019,天皇,てんのう,Emperor of Japan,N1,天 皇,N5 N1
N1_V0020,神宮,じんぐう,Shinto shrine of high status,N1,神 宮,N3 N1
N1_V0021,離婚,りこん,divorce,N1,離 婚,N1 N3
N1_V0022,基本,きほん,basis; fundamentals,N1,基 本,N1 N5
N1_V0023,部隊,ぶたい,unit; troops,N1,部 隊,N3 N1
N1_V0024,要素,ようそ,element; factor,N1,要 素,N3 N1
N1_V0025,価格,かかく,price,N1,価 格,N1 N3
N1_V0026,攻撃,こうげき,attack,N1,攻 撃,N1 N1
N1_V0027,振動,しんどう,vibration,N1,振 動,N1 N4
N1_V0028,証明,しょうめい,proof; certification,N1,証 明,N1 N4
N1_V0029,派遣,はけん,dispatch,N1,派 遣,N1 N1
N1_V0030,僕達,ぼくたち,we; us,N1,僕 達,N1 N3
N1_V0031,補佐,ほさ,assistance; aide,N1,補 佐,N2 N1
N1_V0032,紀元,きげん,era; epoch,N1,紀 元,N1 N4
N1_V0033,統一,とういつ,unification,N1,統 一,N1 N5
N1_V0034,容器,ようき,container; vessel,N1,容 器,N3 N1
N1_V0035,異常,いじょう,abnormality,N1,異 常,N1 N3
N1_V0036,条件,じょうけん,condition; requirement,N1,条 件,N1 N3
N1_V0037,独立,どくりつ,independence,N1,独 立,N1 N4
N1_V0038,資源,しげん,resources,N1,資 源,N3 N1
N1_V0039,影響,えいきょう,influence; effect,N1,影 響,N1 N1
N1_V0040,眼鏡,めがね,eyeglasses,N1,眼 鏡,N1 N1
N1_V0041,企業,きぎょう,company; enterprise,N1,企 業,N1 N4
N1_V0042,津波,つなみ,tsunami,N1,津 波,N1 N2
N1_V0043,提案,ていあん,proposal,N1,提 案,N1 N1
N1_V0044,政策,せいさく,policy,N1,政 策,N3 N1
N1_V0045,宗教,しゅうきょう,religion,N1,宗 教,N1 N4
N1_V0046,提出,ていしゅつ,submission,N1,提 出,N1 N5
N1_V0047,昭和,しょうわ,Showa era,N1,昭 和,N1 N3
N1_V0048,秘密,ひみつ,secret,N1,秘 密,N1 N1
N1_V0049,司会,しかい,master of ceremonies,N1,司 会,N1 N4
N1_V0050,検査,けんさ,inspection; test,N1,検 査,N1 N2
N1_V0051,健康,けんこう,health,N1,健 康,N1 N1
N1_V0052,沢山,たくさん,many; much,N1,沢 山,N1 N5
N1_V0053,優秀,ゆうしゅう,excellent,N1,優 秀,N3 N1
N1_V0054,興奮,こうふん,excitement,N1,興 奮,N1 N1
N1_V0055,効率,こうりつ,efficiency,N1,効 率,N2 N1
N1_V0056,評価,ひょうか,evaluation,N1,評 価,N1 N1
N1_V0057,監督,かんとく,supervision; director,N1,監 督,N1 N1
N1_V0058,川崎,かわさき,Kawasaki,N1,川 崎,N5 N1
N1_V0059,新鮮,しんせん,fresh,N1,新 鮮,N4 N1
N1_V0060,激動,げきどう,turbulence; upheaval,N1,激 動,N1 N4
N1_V0061,道徳,どうとく,morality,N1,道 徳,N4 N1
N1_V0062,選挙,せんきょ,election,N1,選 挙,N3 N1
N1_V0063,志望,しぼう,wish; aspiration,N1,志 望,N1 N3
N1_V0064,敷地,しきち,site; lot,N1,敷 地,N1 N4
N1_V0065,体系,たいけい,system; framework,N1,体 系,N4 N1
N1_V0066,組織,そしき,organization,N1,組 織,N3 N1
N1_V0067,製品,せいひん,manufactured product,N1,製 品,N1 N4
N1_V0068,先端,せんたん,tip; leading edge,N1,先 端,N5 N1
N1_V0069,遺産,いさん,inheritance; legacy,N1,遺 産,N1 N3
N1_V0070,暖房,だんぼう,heating,N1,暖 房,N1 N1
N1_V0071,街道,かいどう,highway; road,N1,街 道,N1 N4
N1_V0072,尾根,おね,mountain ridge,N1,尾 根,N1 N2
N1_V0073,株式,かぶしき,stock; shares,N1,株 式,N1 N3
N1_V0074,従業,じゅうぎょう,employment; work,N1,従 業,N1 N4
N1_V0075,敵対,てきたい,hostility; opposition,N1,敵 対,N1 N3
N1_V0076,発展,はってん,development,N1,発 展,N4 N1
N1_V0077,描写,びょうしゃ,description; depiction,N1,描 写,N1 N4
N1_V0078,修理,しゅうり,repair,N1,修 理,N1 N4
N1_V0079,我慢,がまん,patience; endurance,N1,我 慢,N1 N1
N1_V0080,掲載,けいさい,publication; posting,N1,掲 載,N1 N1
N1_V0081,裁判,さいばん,trial; judgment,N1,裁 判,N1 N3
N1_V0082,隠居,いんきょ,retirement from active life,N1,隠 居,N1 N3
N1_V0083,環境,かんきょう,environment,N1,環 境,N1 N2
N1_V0084,援助,えんじょ,assistance,N1,援 助,N1 N3
N1_V0085,故障,こしょう,breakdown; malfunction,N1,故 障,N1 N1
N1_V0086,幕府,ばくふ,shogunate,N1,幕 府,N1 N2
N1_V0087,倉庫,そうこ,warehouse,N1,倉 庫,N1 N2
N1_V0088,実施,じっし,implementation,N1,実 施,N3 N1
N1_V0089,嫌悪,けんお,disgust; aversion,N1,嫌 悪,N1 N4
N1_V0090,継続,けいぞく,continuation,N1,継 続,N1 N3
N1_V0091,障害,しょうがい,obstacle; disability,N1,障 害,N1 N3
