id,word,reading,english_meaning,study_level,kanji_components,component_levels
N4_V001,言語,げんご,language,N4,言 語,N4 N5
N4_V002,発言,はつげん,statement; remark,N4,発 言,N4 N4
N4_V003,手話,しゅわ,sign language,N4,手 話,N4 N5
N4_V004,手作り,てづくり,handmade; homemade,N4,手 作,N4 N4
N4_V005,自動,じどう,automatic,N4,自 動,N4 N4
N4_V006,自由,じゆう,freedom,N4,自 由,N4 N3
N4_V007,作者,さくしゃ,author,N4,作 者,N4 N4
N4_V008,医者,いしゃ,doctor,N4,医 者,N4 N4
N4_V009,用事,ようじ,errand; business to attend to,N4,用 事,N4 N4
N4_V010,事故,じこ,accident,N4,事 故,N4 N1
N4_V011,思考,しこう,thought; thinking,N4,思 考,N4 N4
N4_V012,意思,いし,intention; will,N4,意 思,N4 N4
N4_V013,社会,しゃかい,society,N4,社 会,N4 N4
N4_V014,会議,かいぎ,meeting; conference,N4,会 議,N4 N3
N4_V015,会場,かいじょう,venue,N4,会 場,N4 N4
N4_V016,家事,かじ,housework,N4,家 事,N4 N4
N4_V017,家庭,かてい,home; household,N4,家 庭,N4 N3
N4_V018,作家,さっか,writer; author,N4,作 家,N4 N4
N4_V019,目的,もくてき,purpose; objective,N4,目 的,N4 N4
N4_V020,基本的,きほんてき,basic; fundamental,N4,基 本 的,N1 N5 N4
N4_V021,方法,ほうほう,method; way,N4,方 法,N4 N3
N4_V022,方向,ほうこう,direction,N4,方 向,N4 N3
N4_V023,夕方,ゆうがた,evening,N4,夕 方,N4 N4
N4_V024,地図,ちず,map,N4,地 図,N4 N4
N4_V025,地方,ちほう,region; local area,N4,地 方,N4 N4
N4_V026,地下,ちか,underground; basement,N4,地 下,N4 N5
N4_V027,注目,ちゅうもく,attention; notice,N4,注 目,N4 N4
N4_V028,目標,もくひょう,goal; target,N4,目 標,N4 N1
N4_V029,場所,ばしょ,place; location,N4,場 所,N4 N3
N4_V030,工場,こうじょう,factory,N4,工 場,N4 N4
N4_V031,時代,じだい,era; age,N4,時 代,N5 N4
N4_V032,代金,だいきん,charge; price,N4,代 金,N4 N5
N4_V033,代表,だいひょう,representative,N4,代 表,N4 N3
N4_V034,私立,しりつ,private (institution),N4,私 立,N4 N4
N4_V035,私用,しよう,private use; personal business,N4,私 用,N4 N4
N4_V036,立場,たちば,standpoint; position,N4,立 場,N4 N4
N4_V037,国立,こくりつ,national; state-run,N4,国 立,N5 N4
N4_V038,動物,どうぶつ,animal,N4,動 物,N4 N4
N4_V039,荷物,にもつ,luggage; baggage,N4,荷 物,N2 N4
N4_V040,物語,ものがたり,story; tale,N4,物 語,N4 N5
N4_V041,水田,すいでん,rice paddy,N4,水 田,N5 N4
N4_V042,田舎,いなか,countryside; hometown,N4,田 舎,N4 N1
N4_V043,体力,たいりょく,physical strength,N4,体 力,N4 N4
N4_V044,体育,たいいく,physical education,N4,体 育,N4 N3
N4_V045,全体,ぜんたい,whole; entirety,N4,全 体,N3 N4
N4_V046,運動,うんどう,exercise; movement,N4,運 動,N4 N4
N4_V047,神社,じんじゃ,Shinto shrine,N4,神 社,N3 N4
N4_V048,本社,ほんしゃ,head office,N4,本 社,N5 N4
N4_V049,知識,ちしき,knowledge,N4,知 識,N4 N3
N4_V050,知人,ちじん,acquaintance,N4,知 人,N4 N5
N4_V051,通知,つうち,notice; notification,N4,通 知,N4 N4
N4_V052,理由,りゆう,reason,N4,理 由,N4 N3
N4_V053,理解,りかい,understanding,N4,理 解,N4 N3
N4_V054,同時,どうじ,same time; simultaneous,N4,同 時,N4 N5
N4_V055,同意,どうい,agreement; consent,N4,同 意,N4 N4
N4_V056,心配,しんぱい,worry; concern,N4,心 配,N4 N3
N4_V057,中心,ちゅうしん,center; core,N4,中 心,N5 N4
N4_V058,安心,あんしん,relief; peace of mind,N4,安 心,N4 N4
N4_V059,発音,はつおん,pronunciation,N4,発 音,N4 N4
N4_V060,出発,しゅっぱつ,departure,N4,出 発,N5 N4
N4_V061,発表,はっぴょう,announcement; presentation,N4,発 表,N4 N3
N4_V062,作品,さくひん,work; production,N4,作 品,N4 N4
N4_V063,作文,さくぶん,composition; writing,N4,作 文,N4 N4
N4_V064,新年,しんねん,New Year,N4,新 年,N4 N5
N4_V065,新品,しんぴん,new product; brand-new item,N4,新 品,N4 N4
N4_V066,世界,せかい,world,N4,世 界,N4 N4
N4_V067,世話,せわ,care; assistance,N4,世 話,N4 N5
N4_V068,世代,せだい,generation,N4,世 代,N4 N4
